Bare_Soil,Kaolin,Montmor,River_sand,Veg1,Veg2
0.215483,0.333326,0.46107,0.350149,0.25368,0.047448
0.217662,0.335414,0.464802,0.355007,0.256756,0.048405
0.218605,0.339681,0.468232,0.355741,0.256515,0.047066
0.215006,0.339974,0.46646,0.354017,0.254739,0.046157
0.215564,0.344062,0.463124,0.352495,0.253884,0.044673
0.212072,0.340804,0.459769,0.349855,0.25355,0.043227
0.214025,0.345424,0.462111,0.35374,0.25535,0.04341
0.209676,0.343834,0.449418,0.352553,0.250062,0.043404
0.209442,0.343017,0.452548,0.358498,0.249413,0.043335
0.210743,0.33986,0.450318,0.351663,0.248584,0.042194
0.203011,0.327089,0.439934,0.343096,0.238433,0.038703
0.203786,0.330293,0.437884,0.347966,0.242742,0.041543
0.20271,0.320852,0.436561,0.347312,0.233857,0.03994
0.195778,0.315372,0.428556,0.336597,0.227669,0.037786
0.200323,0.318685,0.433436,0.348399,0.233378,0.043127
0.203523,0.325109,0.437754,0.352212,0.232504,0.040379
0.194558,0.314984,0.437257,0.342599,0.218516,0.034441
0.196784,0.320805,0.445148,0.345308,0.219561,0.037538
0.19351,0.314042,0.43558,0.34012,0.209816,0.03618
0.157301,0.263404,0.371362,0.286355,0.1752,0.033689
0.152818,0.248569,0.360729,0.265101,0.164364,0.035086
0.161283,0.262061,0.359978,0.290256,0.176046,0.043976
0.155093,0.253266,0.34827,0.272957,0.169193,0.047437
0.160261,0.266899,0.373553,0.288813,0.183981,0.050344
0.131665,0.218577,0.319428,0.243164,0.151119,0.034587
